Cereus pedunculatus
Cerianthus lloydii
Cerithiopsis barleei
Cerithiopsis diadema
Cerithiopsis fayalensis
Cerithiopsis jeffreysi
Cerithiopsis minima
Cerithiopsis scalaris
Cerithiopsis tubercularis
Chaceon affinis
Chaetaster longipes
Chalinula molitba
Chalinula nigra
Chama gryphoides
Charonia lampas
Charonia variegata
Cheilea equestris
Cheirodonta pallescens
Chelonibia caretta
Chondrochelia caldera
Chondrosia reniformis
Chrysogorgia agassizii
Chrysogorgia quadruplex
Chthamalus stellatus
Cidaris cidaris
Cima cylindrica
Cima minima
Cinachyrella alloclada
Cinetorhynchus rigens
Cingula trifasciata
Ciocalypta penicillus
Ciona intestinalis
Cirsotrema pumiceum
Clathria (Clathria) coralloides
Clathria (Microciona) cleistochela
Clathria (Microciona) spinarcus
Clathria (Microciona) strepsitoxa
Clathrina clathrus
Clathrina coriacea
Clathrina lacunosa
Clavelina lepadiformis
Clavelina oblonga
Clelandella azorica
Clibanarius erythropus
Clio pyramidata
Cliona celata
Cliona viridis
Clytia brunescens
Clytia hemisphaerica
Cochlis vittata
Coenocyathus cylindricus
Collarina macaronensis
Colpodaspis pusilla
Columbella adansoni
Columbella rustica
Comarmondia gracilis
Comissia horrida
Conchoderma auritum
Conchoderma virgatum
Conus ermineus
Copidognathus fabricii
Copidognathus richardi
Coralliope parvula
Coralliophaga lithophagella
Coralliophila guancha
Coralliophila meyendorffii
Corycaeus speciosus
Corynactis viridis
Coryne muscoides
Coscinasterias tenuispina
Costulopsis nana
Crassopleura maravignae
Crella (Pytheas) sigmata
Crella (Yvesia) rosea
Crenella arenaria
Creseis acicula
Creseis conica
Creseis virgula
Cribrilaria innominata
Cribrilaria radiata
Crinophtheiros collinsi
Crisia denticulata
Crisilla postrema
Crisilla quisquiliarum
Crisularia gracilis
Crypthelia affinis
Crypthelia tenuiseptata
Cryptolaria pectinata
Cryptosoma cristatum
Ctenodiscus crispatus
Curveulima dautzenbergi
Cuthona fidenciae
Cuvieria huxleyi
Cuvierina atlantica
Cyamus boopis
Cyamus erraticus
Cyamus ovalis
Cyerce antillensis
Cylindriscala mirifica
Cymadusa ledoyeri
Cymodoce truncata
Cyphocaris richardi
Cyrillia linearis
Cystodytes dellechiajei
Cystodytes planus
Dacrydium hyalinum
Dacrydium viviparum
Dardanus arrosor
Dardanus calidus
Dasmosmilia lymani
Deltocyathus eccentricus
Deltocyathus italicus
Deltocyathus moseleyi
Dendrodoris herytra
