Madeiranzonia gibbera
Madracis asperula
Magnoteuthis magna
Mangelia costata
Mangelia costulata
Mangelia stosiciana
Mangelia vauquelini
Manupecten pesfelis
Manzonia bacalladoi
Manzonia boogi
Manzonia crassa
Manzonia crispa
Manzonia madeirensis
Manzonia manzoniana
Marshallora adversa
Marthasterias glacialis
Mastigopsis hjorti
Mecynocera clausi
Megabalanus tintinnabulum
Megastomia conspicua
Megathiris detruncata
Melanella monterosatoi
Melanochlamys maderensis
Melarhaphe neritoides
Meningodora mollis
Merlia normani
Metaxia metaxa
Microcosmus squamiger
Micronereis variegata
Microsetella norvegica
Microstagon trigonum
Millepora alcicornis
Mitrella bruggeni
Moerella donacina
Monodaeus rouxi
Monophorus erythrosoma
Monoplex nicobaricus
Monoplex parthenopeus
Monostaechas quadridens
Murexsul aradasii
Muriceides lepida
Muricopsis cristata
Mycale (Carmia) senegalensis
Myrtea spinifera
Mysia undata
Mystides caeca
Nannocalanus minor
Naria spurca
Natica furva
Natica prietoi
Nemertesia antennina
Nemertesia intermedia
Nemertesia paradoxa
Neocalanus gracilis
Neocytherideis bradyi
Neolepton guanche
Neoschrammeniella bowerbankii
Notocochlis dillwynii
Obelia dichotoma
Ocenebra edwardsii
Ocenebra erinaceus
Ocinebrina aciculata
Octopus vulgaris
Odostomella doliolum
Odostomia acuta
Odostomia lukisii
Odostomia omphaloessa
Odostomia striolata
Odostomia turrita
Odostomia unidentata
Omalogyra antarctica
Omalogyra disculus
Omalogyra undosa
Oncaea venusta
Ondina obliqua
Onoba lincta
Onychocorycaeus giesbrechti
Onychocorycaeus ovalis
Ophiactis profundi
Ophioderma longicaudum
Ophiothrix fragilis
Oplophorus spinosus
Orania fusulus
Ovatella aequalis
Oxynaspis celata
Pachastrella ovisternata
Pachygrapsus marmoratus
Pachygrapsus maurus
Paludinella globularis
Palythoa canariensis
Papillicardium papillosum
Paracerceis sculpta
Paragalene longicrura
Paraleucilla magna
Paramuricea grayi
Parasmittina alba
Parasmittina multiaviculata
Parasmittina protecta
Parthenina clathrata
Parthenina indistincta
Parthenina interstincta
Parvamussium fenestratum
Parvicardium vroomi
Parvioris ibizenca
Patella aspera
Patella caerulea
Patella candei
Patella ordinaria
Patella piperata
Patella ulyssiponensis
Peachia cylindrica
Pecten jacobaeus
Pecten maximus
Pedipes pedipes
Pelagia noctiluca
Pelagodiscus atlanticus
Peponocyathus folliculus
Percnon gibbesi
Petrosia (Petrosia) ficiformis
Philine intricata
Phorcus sauciatus
Phyllidia varicosa
Phyllodoce madeirensis
Physalia physalis
Pileolaria berkeleyana
Pilumnus inermis
Pirimela denticulata
Pisa carinimana
Pisinna glabrata
Plagusia depressa
Planes minutus
Plesiastrea desmoulinsii
Pleuromamma abdominalis
Pleuromamma gracilis
Pleuromamma piseki
Plocamione carteri
Plocamopherus maderae
Plumularia setacea
Poecilasma aurantia
Poecilasma crassa
Polinices lacteus
Portunus hastatus
Pourtalosmilia anthophyllites
Premocyathus cornuformis
Procerastea nematodes
Propeamussium lucidum
Protatlanta souleyeti
Protohyale (Protohyale) schmidtii
Pseudactinia infecunda
Pseudobabylonella minima
Pseudomelampus exiguus
Pseudoniphargus littoralis
Psiloteredo megotara
Puellina macaronensis
Pusia zebrina
Pusillina inconspicua
Putzeysia wiseri
Pycnoclavella taureanensis
Raphitoma purpurea
Reptadeonella violacea
Retusa mariei
Retusa nitidula
Retusa robagliana
Retusa tenerifensis
Retusa tornata
Retusa umbilicata
Rhabderemia intexta
Rhynchonereella gracilis
Rhynchozoon papuliferum
Ringicula conformis
Rissoa albugo
Rissoa janusi
Rissoa lia
Rissoa lilacina
Rissoa similis
Rissoa violacea
Rissoella contrerasi
Rissoella diaphana
Rissoella globularis
Sarcotragus spinosulus
Schizoporella pungens
Scoletoma funchalensis
Semicassis undulata
Serejohyale spinidactylus
Sertularella gayi
Sertularia cupressina
Setia turriculata
Similipecten similis
Sinezona cingulata
Sinezona semicostata
Skenea olgae
Skenea serpuloides
Skeneopsis planorbis
Solenosmilia variabilis
Sphaerechinus granularis
Sphaeroma walkeri
Spinimuricea atlantica
Spinularia sarsii
Spirobranchus polytrema
Spirolaxis centrifuga
Spirorbis (Spirorbis) marioni
Spirula spirula
Spongia (Spongia) virgultosa
Stenorhynchus lanceolatus
Stenorhynchus seticornis
Stephanocyathus (Odontocyathus) nobilis
Stephanocyathus (Stephanocyathus) diadema
Sticteulima badia
Sticteulima richteri
Sticteulima wareni
Stramonita haemastoma
Styela canopus
Styliola subula
Sycon humboldti
Symplegma brakenhielmi
Talochlamys multistriata
Talochlamys pusio
Tanacetipathes cavernicola
Tanacetipathes wirtzi
Tectarius striatus
Tectonatica sagraiana
Tectura virginea
Telmatactis cricoides
Telmatactis forskalii
Telmatactis vestita
Telodiacria quadridentata
Temora stylifera
Terebratulina retusa
Thracia phaseolina
Tonna galea
Tonna pennata
Tricolia pullus
Tritia cuvierii
Tritia incrassata
Trivia grohorum
Truncatella scalaris
Truncatella subcylindrica
Turbonilla lactea
Urocorycaeus lautus
Vallicula multiformis
Venus casina
Venus verrucosa
Virididentula dentata
Vitreolina cionella
Vitreolina incurva
Vitreolina philippi
Watersipora subtorquata
Weinkauffia macandrewii
Williamia gussoni
Zebina vitrea
