Cuvierina columnella
Cyatholaimus prinzi
Cyclopecten simplex
Cylichna cylindracea
Cymbula oculus
Cymbula safiana
Cypraecassis testiculus
Cyrillia linearis
Cytharomorula grayi
Dacrydium viviparum
Dallina septigera
Danilia otaviana
Dardanus calidus
Dasmosmilia lymani
Deltocyathoides stimpsonii
Dendrophyllia ramea
Dendroxea lenis
Desmacella grimaldii
Desmacella inornata
Devonia perrieri
Diacavolinia limbata
Diacria major
Diacria trispinosa
Diadema africanum
Dikoleps cutleriana
Dikoleps marianae
Dikoleps nitens
Dikoleps rolani
Dikoleps templadoi
Dikoleps umbilicostriata
Dimophyes arctica
Diodora canariensis
Diodora gibberula
Diodora graeca
Diodora mus
Diopatra budaevae
Diopatra gallardoi
Diopatra madeirensis
Diopatra mariae
Diopatra marocensis
Diopatra mellea
Diopatra micrura
Discaclis canariensis
Dischides politus
Discotectonica discus
Discoteuthis discus
Donax venustus
Donax vittatus
Dosinia exoleta
Doto canaricoronata
Doto fluctifraga
Dynamene bidentata
Dynamene edwardsi
Dynamene magnitorata
Dysidea avara
Dysidea etheria
Dysidea fragilis
Dysidea incrustans
Dysidea spinosa
Eatonina fulgida
Ebala nitidissima
Ebalia fragifera
Echinaster (Echinaster) sepositus
Echineulima leucophaes
Echinolittorina punctata
Elachisina canarica
Ellisella flagellum
Elysia manriquei
Emarginula fissura
Emarginula tenera
Emarginula tuberculosa
Enoplometopus antillensis
Enoplometopus occidentalis
Entacmaea quadricolor
Epitonium candidissimum
Epitonium celesti
Epitonium clathrus
Epitonium fischeri
Epitonium fulvovittatum
Epitonium nitidella
Epitonium pulchellum
Epitonium tiberii
Epitonium trevelyanum
Epitonium turtonis
Ercolania lozanoi
Ervilia castanea
Euaugaptilus facilis
Euaugaptilus paroblongus
Euaugaptilus roei
Euaugaptilus squamatus
Eucalathis ergastica
Eucalathis tuberata
Euchaetomera typica
Eulima fuscozonata
Eumetula bouvieri
Eumunida picta
Euphausia superba
Euphellia cinclidifera
Eurycope canariensis
Euryozius bouvieri
Euspira catena
Euspira fusca
Euspira grossularia
Euspira guilleminii
